distance,id,runner_key,total_elevation_gain,sport_type,start_date_local,kudos_count,average_speed,created_at,name,moving_time,elapsed_time,type,start_date,timezone,athlete_count
14679.2,13507174872,5,976.0,TrailRun,2025-02-01T07:32:30Z,12,1.862,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,7885,8130,Run,2025-02-01T06:32:30Z,(GMT+01:00) Europe/Rome,3
13613.0,13500756680,5,650.0,TrailRun,2025-01-31T12:06:00Z,16,2.538,2025-02-04 14:55:14.618904+00:00,Lunch Trail Run,5363,5439,Run,2025-01-31T11:06:00Z,(GMT+01:00) Europe/Rome,2
8845.1,13491489958,5,178.0,Run,2025-01-30T11:19:00Z,8,2.896,2025-02-04 14:55:14.618904+00:00,Lunch Run,3054,3126,Run,2025-01-30T10:19:00Z,(GMT+01:00) Europe/Rome,1
1575.0,13483621943,5,0.0,Swim,2025-01-29T13:31:20Z,6,0.727,2025-02-04 14:55:14.618904+00:00,Afternoon Swim,2166,2585,Swim,2025-01-29T12:31:20Z,(GMT+01:00) Africa/Algiers,1
5255.1,13475474145,5,24.0,Run,2025-01-28T16:37:54Z,8,2.683,2025-02-04 14:55:14.618904+00:00,Recovery,1959,2000,Run,2025-01-28T15:37:54Z,(GMT+01:00) Europe/Rome,1
44050.8,13458252811,5,2243.0,TrailRun,2025-01-26T08:01:52Z,17,2.19,2025-02-04 14:55:14.618904+00:00,Ronda Ghibellina 🛡️,19283,20117,Run,2025-01-26T07:01:52Z,(GMT+01:00) Europe/Rome,2
6589.3,13433392692,5,34.0,Run,2025-01-23T18:16:01Z,8,3.028,2025-02-04 14:55:14.618904+00:00,Evening Run,2176,2234,Run,2025-01-23T17:16:01Z,(GMT+01:00) Europe/Rome,1
9000.2,13395169062,5,183.0,Run,2025-01-19T10:55:25Z,10,3.024,2025-02-04 14:55:14.618904+00:00,Morning Run,2976,2980,Run,2025-01-19T09:55:25Z,(GMT+01:00) Europe/Rome,1
9052.0,13376774547,5,154.0,TrailRun,2025-01-17T08:32:33Z,13,3.156,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,2868,2946,Run,2025-01-17T07:32:33Z,(GMT+01:00) Europe/Rome,1
10997.1,13369620576,5,336.0,Run,2025-01-16T12:01:50Z,9,2.782,2025-02-04 14:55:14.618904+00:00,Lunch Run,3953,4000,Run,2025-01-16T11:01:50Z,(GMT+01:00) Europe/Rome,1
10158.3,13332418999,5,265.0,Run,2025-01-12T10:13:53Z,13,3.223,2025-02-04 14:55:14.618904+00:00,Ronda ... vedremo come andrà 🥴🛡️,3152,3153,Run,2025-01-12T09:13:53Z,(GMT+01:00) Europe/Rome,1
12194.4,13306927405,5,88.0,Run,2025-01-09T11:48:59Z,13,3.581,2025-02-04 14:55:14.618904+00:00,Lunch Run,3405,3431,Run,2025-01-09T10:48:59Z,(GMT+01:00) Europe/Rome,2
9465.6,13279683022,5,227.0,Run,2025-01-06T11:00:36Z,10,2.845,2025-02-04 14:55:14.618904+00:00,Lunch Run,3327,3335,Run,2025-01-06T10:00:36Z,(GMT+01:00) Europe/Rome,1
14000.8,13271612648,5,741.0,TrailRun,2025-01-05T09:31:17Z,9,2.008,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,6973,7237,Run,2025-01-05T08:31:17Z,(GMT+01:00) Europe/Rome,2
6555.7,13262948433,5,29.0,Run,2025-01-04T12:24:16Z,8,2.929,2025-02-04 14:55:14.618904+00:00,Lunch Run,2238,2238,Run,2025-01-04T11:24:16Z,(GMT+01:00) Europe/Rome,1
26820.0,13244708023,5,1800.0,TrailRun,2025-01-02T07:10:46Z,11,1.957,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,13706,15659,Run,2025-01-02T06:10:46Z,(GMT+01:00) Europe/Rome,5
13217.4,13237645150,5,732.0,TrailRun,2025-01-01T10:41:25Z,11,1.698,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,7786,7787,Run,2025-01-01T09:41:25Z,(GMT+01:00) Europe/Rome,2
8097.0,13206928694,5,51.0,Run,2024-12-28T11:24:45Z,10,3.047,2025-02-04 14:55:14.618904+00:00,Maledetto calcetto 🩹🥴,2657,2670,Run,2024-12-28T10:24:45Z,(GMT+01:00) Europe/Rome,2
10949.5,13181246333,5,619.0,TrailRun,2024-12-24T11:45:48Z,9,1.647,2025-02-04 14:55:14.618904+00:00,Lunch Trail Run,6650,7204,Run,2024-12-24T10:45:48Z,(GMT+01:00) Europe/Rome,2
13516.8,13172529147,5,245.0,Run,2024-12-23T07:38:28Z,7,3.032,2025-02-04 14:55:14.618904+00:00,Morning Run,4458,4511,Run,2024-12-23T06:38:28Z,(GMT+01:00) Europe/Rome,2
13886.9,13160050448,5,294.0,Run,2024-12-21T09:51:31Z,9,3.155,2025-02-04 14:55:14.618904+00:00,Back,4402,4472,Run,2024-12-21T08:51:31Z,(GMT+01:00) Europe/Rome,1
6078.8,13154470614,5,33.0,Run,2024-12-20T12:16:48Z,7,2.463,2025-02-04 14:55:14.618904+00:00,Lunch Run,2468,2531,Run,2024-12-20T11:16:48Z,(GMT+01:00) Europe/Rome,2
6248.7,13134108090,5,26.0,Run,2024-12-17T12:41:33Z,5,3.109,2025-02-04 14:55:14.618904+00:00,Lunch Run,2010,2021,Run,2024-12-17T11:41:33Z,(GMT+01:00) Europe/Rome,1
30534.5,13119234031,5,1285.0,TrailRun,2024-12-15T07:43:22Z,12,2.488,2025-02-04 14:55:14.618904+00:00,Lunghetto in compagnia ☀️,12273,12568,Run,2024-12-15T06:43:22Z,(GMT+01:00) Europe/Rome,3
7810.2,13099419123,5,46.0,Run,2024-12-12T12:23:21Z,7,3.017,2025-02-04 14:55:14.618904+00:00,Lunch Run,2589,2599,Run,2024-12-12T11:23:21Z,(GMT+01:00) Europe/Rome,1
1925.0,13093031416,5,0.0,Swim,2024-12-11T13:33:13Z,3,0.719,2025-02-04 14:55:14.618904+00:00,Afternoon Swim,2677,3362,Swim,2024-12-11T12:33:13Z,(GMT+01:00) Africa/Algiers,1
4187.7,13085172790,5,517.0,TrailRun,2024-12-10T12:07:59Z,7,1.412,2025-02-04 14:55:14.618904+00:00,Pale qualitativo ⛰️⛷️,2965,3117,Run,2024-12-10T11:07:59Z,(GMT+01:00) Europe/Rome,1
10007.4,13078748793,5,362.0,TrailRun,2024-12-09T12:26:43Z,8,1.83,2025-02-04 14:55:14.618904+00:00,Lunch Trail Run,5468,5701,Run,2024-12-09T11:26:43Z,(GMT+01:00) Europe/Rome,2
18912.9,13063367604,5,867.0,TrailRun,2024-12-07T06:52:42Z,7,2.362,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,8007,8516,Run,2024-12-07T05:52:42Z,(GMT+01:00) Europe/Rome,6
12654.7,13045003259,5,350.0,Run,2024-12-04T12:25:29Z,4,3.209,2025-02-04 14:55:14.618904+00:00,Medio collinare,3943,4045,Run,2024-12-04T11:25:29Z,(GMT+01:00) Europe/Rome,1
10767.0,13038773644,5,163.0,Run,2024-12-03T16:35:23Z,11,2.289,2025-02-04 14:55:14.618904+00:00,Afternoon Run,4703,4776,Run,2024-12-03T15:35:23Z,(GMT+01:00) Europe/Rome,2
1700.0,13030209887,5,0.0,Swim,2024-12-02T13:39:03Z,6,0.706,2025-02-04 14:55:14.618904+00:00,Afternoon Swim,2409,2870,Swim,2024-12-02T12:39:03Z,(GMT+01:00) Africa/Algiers,1
